,gang_num_fcijk,worker_num_fcijk,vector_num_fcijk,Mean Squared Calc Time,Mean Squared Rmass Error,Mean Squared Rmom Error,Mean Squared Rener Error
2146,434688,1,96,0.0007747928274999978,8.062850089487155e-59,5.874926665826324e-51,1.4426962060813643e-49
2147,465408,1,96,0.0008268255327999985,8.470417350452916e-59,5.91034174640406e-51,1.4802855233729907e-49
2148,13312,1,192,0.0008145203111333321,6.734777185824661e-59,4.9772959370092047e-51,1.202897866065763e-49
2149,59392,1,96,0.0008206452673999975,8.420199304339349e-59,5.899710472373168e-51,1.505994918927551e-49
2150,471040,1,96,0.0007928591988666649,8.383714739650164e-59,5.906947104749959e-51,1.4875375769213567e-49
2151,10240,1,256,0.0008216874622333311,6.425621733892755e-59,4.5683858173421356e-51,1.1200711502390554e-49
2152,260096,1,96,0.0007834616384666646,8.5688692985307e-59,5.915241889583535e-51,1.5020240684009426e-49
2153,223744,1,896,999998000001.0,999998000001.0,999998000001.0,999998000001.0
2154,54272,1,128,0.0008238948683999988,8.248576205236836e-59,5.811323535988367e-51,1.460662525793273e-49
2155,36352,1,64,0.0008117496953666644,9.331471327743598e-59,6.623946604893519e-51,1.6644330796685584e-49
2156,49152,1,160,0.000842790046033331,7.48568688318787e-59,5.226457079469021e-51,1.318877417423611e-49
2157,26624,1,96,0.0008123746302666645,8.060975758559772e-59,5.848293316741907e-51,1.4617817534893425e-49
2158,159232,1,96,0.0008221599405999976,8.1894397646246e-59,5.917189790041965e-51,1.4597101419565512e-49
2159,25600,1,832,999998000001.0,999998000001.0,999998000001.0,999998000001.0
2160,34816,1,128,0.000784918719166665,8.052650897183656e-59,5.799982424263065e-51,1.4604853001476777e-49
2161,6144,1,96,0.0008077588486999981,9.811564546443006e-59,7.713134510804229e-51,1.850610082820097e-49
2162,47104,1,96,0.0008713426945333313,8.43463638052487e-59,5.93023984385443e-51,1.4910469253164554e-49
2163,262656,1,32,0.0007786890821666643,1.5406424065144198e-58,9.954094498399564e-51,2.720568700254826e-49
2164,66048,1,128,0.0008076348729333312,7.99625689949137e-59,5.709057201893835e-51,1.4088328612019606e-49
2165,123392,1,64,0.0008028769796666644,9.466748546906417e-59,6.715845231008799e-51,1.6863581304844024e-49
2166,115200,1,96,0.0007910719315666648,8.35490530619081e-59,5.92215703846195e-51,1.456339399537447e-49
2167,261632,1,64,0.000797598031133331,9.22288454025263e-59,6.782049629844691e-51,1.6622369079249884e-49
2168,205824,1,96,0.000765325281133331,8.478845105266447e-59,5.9035569277171e-51,1.5215563459744011e-49
2169,35328,1,32,0.0007633230317333313,1.4602651234776166e-58,9.989664059167777e-51,2.6959657992319648e-49
2170,32256,1,160,0.000860849234166665,7.199753375952394e-59,5.14704242200705e-51,1.2648584986047125e-49
2171,421376,1,96,0.0008531849974999982,8.414017484018205e-59,5.861007528554373e-51,1.4939978451867116e-49
2172,359936,1,128,0.0008258838535666637,8.221743466169297e-59,5.789333417379714e-51,1.4343402526143333e-49
2173,48640,1,128,0.0008463730019333324,7.894145624517036e-59,5.792500156487064e-51,1.4308382381664818e-49
2174,379392,1,32,0.0007985948124999983,1.509213853254115e-58,1.0043357620071599e-50,2.705336814322313e-49
2175,367104,1,64,0.0008171241526666651,9.366156201678663e-59,6.717529000764611e-51,1.701217266580659e-49
2176,384512,1,96,0.0008258180205666651,8.163888430287065e-59,5.91917336999904e-51,1.4599268567574308e-49
2177,220160,1,64,0.0008012077959666645,9.294915304376087e-59,6.652975611635143e-51,1.6618168309661912e-49
2178,455680,1,96,0.0008420322630999978,8.316272347964241e-59,5.837446040730838e-51,1.4860746896915995e-49
2179,304128,1,128,0.000981409988866665,8.060099276664254e-59,5.820960675857713e-51,1.4826729972577117e-49
2180,375808,1,96,0.0010392795178666646,8.480306124160334e-59,5.912429427795285e-51,1.4568171468774835e-49
2181,268288,1,96,0.001040012770433331,8.257494448360233e-59,5.882407945305761e-51,1.4640254644487397e-49
2182,376320,1,128,0.001069735040133332,7.91157905815466e-59,5.73275247407963e-51,1.4085595978871074e-49
2183,331264,1,32,0.0010324904101666648,1.5181785431507227e-58,1.0190387972961903e-50,2.791357511625908e-49
2184,191488,1,160,0.0010732972033333332,7.242990330971774e-59,5.244128046588463e-51,1.2683523227185376e-49
2185,212480,1,64,0.0010524597899666656,9.473562303738994e-59,6.680980901389505e-51,1.7040058362082351e-49
2186,475648,1,32,0.0010314701395666647,1.4939405643852903e-58,1.0104992498403699e-50,2.7531998139744733e-49
2187,240128,1,64,0.0010182377447666652,9.162646638200203e-59,6.677796208349041e-51,1.6397833622335768e-49
2188,294400,1,64,0.0010458372408666647,9.249185523416358e-59,6.661590547947835e-51,1.6646404748526309e-49
2189,227328,1,64,0.0010524522813666654,9.377246782103916e-59,6.714110325269832e-51,1.6474704614423251e-49
2190,508928,1,64,0.0010364630908333318,9.419762349393571e-59,6.691967599300812e-51,1.6915922936398035e-49
2191,30208,1,96,0.001061439677766666,8.135682511923205e-59,5.931328990370557e-51,1.447415644421997e-49
2192,243712,1,32,0.0010298628699333316,1.5183041783451932e-58,1.0074799245912136e-50,2.705037755542259e-49
2193,389120,1,64,0.0010600309218333317,9.526819793546693e-59,6.677232722217665e-51,1.719518379996808e-49
